State/Region P_code,Division/State ,Township ,Type,Name,Latitude,Longitude,Phone Number,,,,,
SR_PCODE,SR_NAME,TS_NAME,TYPE,NAME,LAT,LONG,Ph_no,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Htun Lin,21.88166,95.982358,09 797262667,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,New Star,21.880752,95.98206,09 2061415,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Zaya,21.884646,95.980926,072 22057,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Min Gyi Kyite,21.885291,95.980121,09 33196639,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Zwe,21.879868,95.980545,09 979720087,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Mingalar,21.879857,95.980504,09 780907693,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Nilar,21.881913,95.979345,09 442252214,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Thit Sann,21.903799,95.967228,09 400461026,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Ngwe Kyal Moe,21.879884,95.980801,09 965645500,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,U Maung Maung,21.881363,95.981709,072 22623,,,,,
MR001,Sagaing Division,Sagaing,Electronic Store,Aung,21.879372,95.979338,09 970868734,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Super Power,22.106095,95.1137061,09 974113788,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Thit San,22.113664,95.130847,071 22488,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Super Star,22.117129,95.155747,09 445466466,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Diamond,22.111695,95.141621,09 443667272,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Aung Family,22.126285,95.134925,09 400453356,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Angel,22.134978,95.157791,09 770646696,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Kude Hein,22.126539,95.139351,09 455888808,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,San United,22.121329,95.169517,09 256119872,,,,,
MR001,Sagaing Division,Shwe Bo,Electronic Store,Tha Htoo,22.571119,95.690998,09 455534440,,,,,
MR001,Sagaing Division,Shwe Bo,Electronic Store,Kyaw,22.573131,95.720541,057 21548,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Nat San,21.918322,95.956615,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,JJ Bussiness Group,21.917848,96.967492,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Naw Shwan Home,21.928041,95.969896,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Shwe Taung Yoe,21.891263,95.987281,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Aung Star,21.885415,95.984868,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Toe Gyi,21.883299,95.981258,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Skynet,21.880747,95.987289,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Top1,21.880133,95.981996,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Ngwe Ngann Oo,21.879123,95.98168,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Zwe,21.879861,95.980625,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Ngwe Kyal Moe,22.766215,95.427699,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,Thein San,21.879008,95.979396,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Store,RYB,22.580336,95.694413,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Store,Tha Htoo,22.571097,95.691039,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Store,Yo Ro Zu,22.569131,95.694659,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Service,Kyaw Swar,22.567522,95.698343,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Store,Zaw,22.566489,95.698279,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Store,Linn,22.568453,95.69848,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Store,Tun,22.568303,95.698563,,,,,,
MR001,Sagaing Division,Shwebo ,Electronic Store,Perfect,22.564929,95.698254,,,,,,
MR001,Sagaing Division,Shwebo ,Electrical Substation,Land 230 KV ,22.615338,95.737217,,,,,,
MR001,Sagaing Division,Ye Oo ,Electrical Power Office,Ye Oo EPC,22.76602,95.427737,,,,,,
MR001,Sagaing Division,Ye Oo ,Electronic Store,Yatanapone,22.763846,95.428668,,,,,,
MR001,Sagaing Division,Ye Oo ,Electronic Store,Pyae Sone,22.763121,95.428921,,,,,,
MR001,Sagaing Division,Ye Oo ,Electronic Store,Aung Kyaw Moe,22.763555,95.4256,,,,,,
MR001,Sagaing Division,Ye Oo ,Electronic Store,Ko Htike,22.765532,95.426999,,,,,,
MR001,Sagaing Division,Ye Oo ,Electronic Store,New Energy,22.7671289,95.421031,,,,,,
MR001,Sagaing Division,Ye Oo ,Electronic Store,La Wun Thit,22.764268,95.429043,,,,,,
MR001,Sagaing Division,Kyunhla ,Electronic Store,Moe Kaung Kin,23.321204,95.522526,,,,,,
MR001,Sagaing Division,Kyunhla ,Electronic Store,Century One,23.321263,95.525581,,,,,,
MR001,Sagaing Division,Kyunhla ,Electronic Store,Aung Chan Myae,23.318533,95.570057,,,,,,
MR001,Sagaing Division,Kyunhla ,Electronic Store,Sabiai,22.286877,95.449515,,,,,,
MR001,Sagaing Division,Kyunhla ,Electronic Store,Singapore,22.282127,95.445084,,,,,,
MR001,Sagaing Division,Kyunhla ,Electronic Store,Lin Thit Sar,22.285686,95.449459,,,,,,
MR001,Sagaing Division,Kyunhla ,Electronic Store,Thit San,22.285843,95.44764,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,New Light,22.117901,95.149526,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Aung Family,22.126406,95.134805,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Aung Kaung Myat,22.129685,95.160267,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Shwe Yi Win,22.084668,95.162866,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Moe Thi Kyar,22.107075,95.13133,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,Ar Thit,22.107127,95.70059,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,KNK ,22.105225,95.137267,,,,,,
MR001,Sagaing Division,Monywa,Electronic Store,IT City,22.116321,95.132201,,,,,,
MR001,Sagaing Division,Saging ,Electronic Store,New Bee,22.116672,95.141525,,,,,,
MR002,TaninTharyi Division,Dawei,Electrical Power Office,Dawei Electrical Power Office,14.083522,98.194653,,,,,,
MR002,TaninTharyi Division,Dawei,Electronic Store,UMG(Myanmar),14.056698,98.190334,059 23007,,,,,
MR002,TaninTharyi Division,Dawei,Electronic Store,Sein Shwe,14.072742,98.190061,09 254821821,,,,,
MR002,TaninTharyi Division,Dawei,Electronic Store,88Electric,14.075414,98.186501,09 450992600,,,,,
MR002,TaninTharyi Division,Dawei,Electronic Store,Zi Zawar Hmwe,14.123739,98.175781,09 8752211,,,,,
MR002,TaninTharyi Division,Maung Ma Kan,Electronic Service,Super Electronic Service,14.173206,98.103867,09 782462554,,,,,
MR002,TaninTharyi Division,Palaw,Electronic Store,Alinyaung,12.974337,98.647189,,,,,,
MR002,TaninTharyi Division,Kaleinnaung,Electronic Store,Miba Myittar,14.623811,98.137898,09 788374373,,,,,
MR003,Bago Division,Bago ,Electronic Store,Su Mon,17.334425,96.493107,,,,,,
MR003,Bago Division,Bago,Electronic Store,Zaw,17.3360548,96.4890237,,,,,,
MR003,Bago Division,Bago,Electronic Store,Wai Yan,17.3341598,96.4817398,09260632525,,,,,
MR003,Bago Division,Bago,Electronic Store,Mission,17.3366186,96.4895647,0973333439,,,,,
MR003,Bago Division,Bago,Electronic Store,OK,17.3332787,96.4932783,09790150354,,,,,
MR003,Bago Division,Bago,Electronic Store,Golden Butterfly,17.335357,96.489248,,,,,,
MR003,Bago Division,Bago,Electronic Store,Sun Mon,17.334421,96.493107,,,,,,
MR003,Bago Division,Bago,Electronic Store,Connect Technologies,17.332707,96.489442,09777732910,,,,,
MR003,Bago Division,Bago,Electronic Store,Green Land,17.345155,96.49721,,,,,,
MR003,Bago Division,Taungoo,Electronic Service,Ko Moe,18.937764,96.434376,09253211782,,,,,
MR003,Bago Division,Taungoo,Electronic Store,Rolex-baho,18.940396,96.440103,05424136,,,,,
MR003,Bago Division,Taungoo,Electronic Store,A Linn Pwint,18.943392,96.427824,09777054684,,,,,
