တိုင္း/ျပည္နယ္ (ျမန္မာ),ျမို့နယ္ (ျမန္မာ),အမ်ိုးအစား (ျမန္မာ),အမည္ (ျမန္မာ),လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,,,,,,
SR_MM_NAME,TS_MM_NAME,TYPE_MM,NAME_MM,LAT,LONG,Ph_no,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ထြန္းလင္း,21.88166,95.982358,09 797262667,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,နယူးစတား,21.880752,95.98206,09 2061415,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေဇယ်,21.884646,95.980926,072 22057,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,မင္းႀကီးႀကိဳက္,21.885291,95.980121,09 33196639,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ဇြဲ,21.879868,95.980545,09 979720087,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,မဂၤလာ,21.879857,95.980504,09 780907693,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,နီလာ,21.881913,95.979345,09 442252214,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,သစ္ဆန္း,21.903799,95.967228,09 400461026,,,,,,
စစ္ကိုင္းတိုင္းေဒသႀကီး,စစ္ကိုင္းျမိဳ ့,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,ေငြႀကယ္မိုး,21.879884,95.980801,09 965645500,,,,,,
