State/Region P_code,Division/State (Myanmar),Division/State ,Township  (Myanmar),Township ,Type (Myanmar),Type,Name (Myanmar),Name,Latitude,Longitude,Phone Number,
ျပည္နယ္နွင့္တိုင္းအမွတ္စဥ္,တိုင္း/ျပည္နယ္ (ျမန္မာ),တိုင္း/ျပည္နယ္,ျမို့နယ္ (ျမန္မာ),ျမို့နယ္ ,အမ်ိုးအစား (ျမန္မာ),အမ်ိုးအစား,အမည္ (ျမန္မာ),အမည္,လတၱီက်ု့,ေလာင္ဂ်ီက်ု့,ဖုန္းနံပါတ္,
SR_PCODE,SR_MM_NAME,SR_NAME,TS_MM_NAME,TS_NAME,TYPE_MM,TYPE,NAME_MM,NAME,LAT,LONG,Ph_no,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ထြန္းလင္း,Htun Lin,21.88166,95.982358,09 797262667,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,နယူးစတား,New Star,21.880752,95.98206,09 2061415,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေဇယ်,Zaya,21.884646,95.980926,072 22057,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,မင္းႀကီးႀကိဳက္,Min Gyi Kyite,21.885291,95.980121,09 33196639,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဇြဲ,Zwe,21.879868,95.980545,09 979720087,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,မဂၤလာ,Mingalar,21.879857,95.980504,09 780907693,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,နီလာ,Nilar,21.881913,95.979345,09 442252214,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,သစ္ဆန္း,Thit Sann,21.903799,95.967228,09 400461026,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ေငြႀကယ္မိုး,Ngwe Kyal Moe,21.879884,95.980801,09 965645500,
MR001,စစ္ကိုင္းတိုင္းေဒသႀကီး,Sagaing Division,စစ္ကိုင္းျမိဳ ့,Sagaing,လ်ွပ္စစ္ပစၥည္းအေရာင္းဆိုင္,Electronic Store,ဦးေမာင္ေမာင္,U Maung Maung,21.881363,95.981709,072 22623,
